,JAN ,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1973,n/a,n/a,n/a,n/a,13,13,13,12,11,11,11,9
1974,13,12,13,14,12,13,13,12,10,10,12,10
1975,11,12,12,14,12,13,12,12,10,11,11,11
1976,14,14,15,12,14,15,14,11,10,n/a,11,10
1977,11,14,13,13,13,15,13,11,10,10,9,13
1978,12,11,12,10,13,14,13,15,9,9,10,13
1979,9,13,n/a,n/a,11,13,13,13,11,9,9,10
1980,12,12,13,11,12,13,13,10,8,10,12,10
1981,10,12,11,12,12,13,12,10,8,9,9,11
1982,13,14,14,13,13,15,14,13,11,11,11,11
1983,13,12,14,14,13,14,14,12,12,9,10,12
1984,12,14,13,13,14,14,14,13,11,11,10,12
1985,12,16,12,11,14,13,13,10,9,12,9,15
1986,14,11,14,13,13,16,14,13,12,11,11,14
1987,13,13,10,13,9,14,15,11,11,10,10,13
1988,14,14,14,13,14,13,11,11,11,13,13,14
1989,15,15,14,14,14,16,14,9,9,9,13,12
1990,16,13,12,11,11,14,13,10,9,9,12,12
1991,16,13,13,13,14,14,14,12,12,9,13,13
1992,13,15,13,12,11,15,14,12,11,8,9,11
1993,14,11,14,13,10,15,14,13,10,12,13,13
1994,14,15,13,13,14,15,15,12,11,10,11,11
1995,10,13,10,10,12,*,12,9,10,8,10,10
1996,12,13,14,13,14,14,13,10,10,9,11,11
1997,13,16,13,11,14,14,13,12,10,9,12,12
1998,13,12,14,11,12,13,13,10,10,11,12,13
1999,15,12,13,12,12,15,13,10,9,9,9,13
2000,15,14,12,14,13,16,14,12,9,9,11,13
2001,13,14,13,15,16,16,15,13,11,13,8,13
2002,15,13,13,13,16,16,15,13,12,11,13,14
2003,14,16,13,14,16,16,16,12,9,9,11,13
2004,14,15,14,13,14,16,15,14,10,8,12,13
2005,14,10,14,15,12,13,12,10,9,10,12,15
2006,18,17,15,13,13,16,16,14,10,11,12,16
2007,14,16,16,14,16,16,16,14,11,12,14,14
2008,14,17,15,16,14,17,14,11,9,9,11,15
2009,16,17,14,15,13,13,16,13,12,12,12,15
2010,15,14,14,13,14,14,14,9,9,11,13,13
2011,16,17,14,13,11,15,13,10,9,13,12,12
2012,17,17,15,13,13,15,15,13,9,11,12,12
2013,15,16,14,15,15,16,14,12,10,12,12,16
2014,17,17,15,16,15,17,16,13,12,9,14,12
2015,16,15,16,16,17,18,17,14,11,12,,
2016,15,15,14,14,16,16,15,12,11,10,11,17
2017,13,15,16,15,16,17,14,12,12,13,13,14
2018,16,18,14,16, ,,,,,,,
