SITE,TUNAS,DOLPHINFISH,WAHOO,SNAPPER,FLYINGFISH,SHARK,LOBSTER,CONCH,LIONFISH,OTHER,TOTAL
ANSE LA RAYE,177466,54307,426,21382,129,0,0,0,1171,386548.64,641429.64
CASTRIES,175986,214504,9559,48928,1582,1416,5778,125,1309,721726.52,1180913.52
CHOISEUL,381243,265812,36437,47545,195,1665,41939,0,12046,228723.53,1015605.53
DENNERY,1000269,2479874,435078,83924,0,8568,52255,66619,9654,532550.19,4668791.19
GROS ISLET,55372,34217,1164,36673,304,4701,162921,2680078,4773,436531.73,3416734.73
LABORIE,292913,61692,5854,80188,0,7812,12700,368119,13011,357134.22,1199423.22
MICOUD,404365,469227,64553,14468,0,1214,12130,0,3893,273346.66,1243196.66
SOUFRIERE,55486,8503,0,8520,301,0,0,0,15,336193.93,409018.93
VIEUX FORT,1923847,3489675,605735,290839,0,6187,55428,35735,1352,785552.83,7194350.83
OTHERSITES,984749.0653,910216.1944,111555.1625,100567.5329,569.05,8326.4231,237791.4103,0,14451.4342,1536149.221,3904375.494
TOTAL ,"$5,451,696.07","$7,988,027.19","$1,270,361.16","$733,034.53","$3,080.05","$39,889.42","$580,942.41","$3,150,676.00","$61,675.43","$5,594,457.47","$24,873,839.74"
